ds,yhat,yhat_lower,yhat_upper
2018-05-16,62813.158301483374,46785.621702792145,77692.5570336702
2018-05-17,63160.95733438436,47001.4871234185,78716.22647132314
2018-05-18,62898.320964872284,46588.38918578102,79359.04966194471
2018-05-19,54633.00980100454,37670.84090824563,71184.35646315223
2018-05-20,55112.426592267206,39257.96988866152,71171.84567578934
2018-05-21,64562.32616925401,48511.77001746844,80264.87974983777
2018-05-22,64385.65562462464,49132.43091230292,82059.17415363458
2018-05-23,62885.92623035591,46960.570216494205,79480.49228252882
2018-05-24,62912.32015569149,46769.943066369786,79893.6028018902
2018-05-25,62332.36161963001,45935.42473723557,78979.29785546554
2018-05-26,53757.2557528657,36729.821722684406,70692.54596037966
2018-05-27,53937.79425825118,37977.56049961758,70357.96935692617
2018-05-28,63103.01791245506,47741.17289130581,79780.17212557998
2018-05-29,62659.00995307597,46573.03795831155,78310.9821943587
2018-05-30,60912.22266857968,45759.7667833822,77010.65873065448
2018-05-31,60714.54107939181,44849.3257182454,76739.51271181916
2018-06-01,59935.91414893841,43734.9282959024,75763.86294674128
2018-06-02,51189.6575689359,36510.14512902544,66137.22393641548
2018-06-03,51228.32792149021,35083.88241550938,67298.73625530036
2018-06-04,60282.358901176805,43640.58038756521,76388.44817017428
2018-06-05,59758.834190795285,42477.70614809836,75972.23103049413
2018-06-06,57964.799752886094,41881.44866552826,73013.17962695946
2018-06-07,57752.31975041297,41418.8276356398,74071.92121219174
2018-06-08,56991.10673239666,40734.73222096741,72379.50264028071
2018-06-09,48293.83018867596,31325.44513484203,63980.706734116335
2018-06-10,48412.00319668991,33443.58953329861,65362.41206898718
2018-06-11,57574.63762177827,41325.96112703609,73005.75663195408
2018-06-12,57187.0421068492,42220.992530538235,72578.12415734786
2018-06-13,55554.16512315467,38496.647783860455,70975.59448538601
2018-06-14,55525.686685768655,38943.95279754102,71863.99094739281
