Date,Sales,Rolling_7,Day,Year,Quarter,Month,Month_Name,Week,Day_of_Week,Day_Number,Is_Weekend,Is_Month_Start,Is_Month_End
2016-09-04,272.46,,4,2016,3,9,September,35,Sunday,6,1,0,0
2016-09-05,75.06,,5,2016,3,9,September,36,Monday,0,0,0,0
2016-09-06,0.0,,6,2016,3,9,September,36,Tuesday,1,0,0,0
2016-09-07,0.0,,7,2016,3,9,September,36,Wednesday,2,0,0,0
2016-09-08,0.0,,8,2016,3,9,September,36,Thursday,3,0,0,0
2016-09-09,0.0,,9,2016,3,9,September,36,Friday,4,0,0,0
2016-09-10,0.0,49.645714285714284,10,2016,3,9,September,36,Saturday,5,1,0,0
2016-09-11,0.0,10.722857142857142,11,2016,3,9,September,36,Sunday,6,1,0,0
2016-09-12,0.0,0.0,12,2016,3,9,September,37,Monday,0,0,0,0
2016-09-13,40.95,5.8500000000000005,13,2016,3,9,September,37,Tuesday,1,0,0,0
2016-09-14,0.0,5.8500000000000005,14,2016,3,9,September,37,Wednesday,2,0,0,0
2016-09-15,0.0,5.8500000000000005,15,2016,3,9,September,37,Thursday,3,0,0,0
2016-09-16,0.0,5.8500000000000005,16,2016,3,9,September,37,Friday,4,0,0,0
2016-09-17,0.0,5.8500000000000005,17,2016,3,9,September,37,Saturday,5,1,0,0
2016-09-18,0.0,5.8500000000000005,18,2016,3,9,September,37,Sunday,6,1,0,0
2016-09-19,0.0,5.8500000000000005,19,2016,3,9,September,38,Monday,0,0,0,0
2016-09-20,0.0,0.0,20,2016,3,9,September,38,Tuesday,1,0,0,0
2016-09-21,0.0,0.0,21,2016,3,9,September,38,Wednesday,2,0,0,0
2016-09-22,0.0,0.0,22,2016,3,9,September,38,Thursday,3,0,0,0
2016-09-23,0.0,0.0,23,2016,3,9,September,38,Friday,4,0,0,0
2016-09-24,0.0,0.0,24,2016,3,9,September,38,Saturday,5,1,0,0
2016-09-25,0.0,0.0,25,2016,3,9,September,38,Sunday,6,1,0,0
2016-09-26,0.0,0.0,26,2016,3,9,September,39,Monday,0,0,0,0
2016-09-27,0.0,0.0,27,2016,3,9,September,39,Tuesday,1,0,0,0
2016-09-28,0.0,0.0,28,2016,3,9,September,39,Wednesday,2,0,0,0
2016-09-29,0.0,0.0,29,2016,3,9,September,39,Thursday,3,0,0,0
2016-09-30,0.0,0.0,30,2016,3,9,September,39,Friday,4,0,0,1
2016-10-01,0.0,0.0,1,2016,4,10,October,39,Saturday,5,1,1,0
2016-10-02,109.34,15.620000000000001,2,2016,4,10,October,39,Sunday,6,1,0,0
2016-10-03,595.14,100.64,3,2016,4,10,October,40,Monday,0,0,0,0
2016-10-04,14075.31,2111.3985714285714,4,2016,4,10,October,40,Tuesday,1,0,0,0
2016-10-05,16319.57,4442.765714285714,5,2016,4,10,October,40,Wednesday,2,0,0,0
2016-10-06,11645.27,6106.375714285714,6,2016,4,10,October,40,Thursday,3,0,0,0
2016-10-07,10492.23,7605.265714285714,7,2016,4,10,October,40,Friday,4,0,0,0
2016-10-08,10837.87,9153.532857142856,8,2016,4,10,October,40,Saturday,5,1,0,0
2016-10-09,6895.09,10122.925714285715,9,2016,4,10,October,40,Sunday,6,1,0,0
2016-10-10,5088.36,10764.814285714285,10,2016,4,10,October,41,Monday,0,0,0,0
2016-10-11,0.0,8754.055714285714,11,2016,4,10,October,41,Tuesday,1,0,0,0
2016-10-12,0.0,6422.688571428572,12,2016,4,10,October,41,Wednesday,2,0,0,0
2016-10-13,0.0,4759.078571428572,13,2016,4,10,October,41,Thursday,3,0,0,0
2016-10-14,0.0,3260.1885714285713,14,2016,4,10,October,41,Friday,4,0,0,0
2016-10-15,0.0,1711.9214285714286,15,2016,4,10,October,41,Saturday,5,1,0,0
2016-10-16,0.0,726.9085714285713,16,2016,4,10,October,41,Sunday,6,1,0,0
